Product ID,Product,Category,Brands,Provider,Selling Price,MRP Price,Discount,Rating,Bought Count,Delivery Date,Product Image URL
5c0544c1-f471-4fd7-8a70-69ef84d7657d,WEROX NB155 Airdopes 800 TWS In-earbud Wireless Earphon...,Earbuds,Unknown,Flipkart,₹ 597.00,₹ 2499.00,0% off,0.0,0,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/s/s/x/nb155-airdopes-800-tws-in-earbud-wireless-earphone-stereo-bass-original-imahhy23vqaaggea.jpeg?q=70
e89926e7-e1b9-4b75-8ac0-1dcc1517caff,"boAt Airdopes 101v2, Flex Fit Tips,13mm Drivers, Stream...",Earbuds,boAt,Flipkart,₹ 699.00,₹ 3990.00,0% off,4.0,14249,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/f/w/c/-original-imahgnf4z4zkwkpq.jpeg?q=70
036c79d7-b5f9-459f-a2df-f1fa2842e8d4,"GOBOULT Y1 Pro with 4 Mic ENC, 60Hrs Battery Life, Fast...",Earbuds,Unknown,Flipkart,₹ 999.00,₹ 5999.00,0% off,4.1,147765,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/k/b/1/-original-imahhbzvazhcbfyg.jpeg?q=70
e133cecd-d611-4615-823b-f64e93dc8d50,"TRIGGR COSMOS with Textured Design, Dual Pairing, 50H B...",Earbuds,Unknown,Flipkart,₹ 999.00,₹ 3999.00,0% off,4.5,101,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/p/9/o/-original-imahkdxapzsggsg7.jpeg?q=70
5114eb22-07cc-43a1-9cd5-8d2c514152e8,"truke Crystal Bass earbuds with 13mm Drivers, Made in I...",Earbuds,Unknown,Flipkart,₹ 699.00,₹ 2999.00,0% off,4.1,5868,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/e/v/f/-original-imahbzmfcrpac9xr.jpeg?q=70
bd10f395-ab95-4488-8339-8189959c5e6d,NEXX ARHAM TWS BLUETOOTH HEADSET WIRELESS TWINS WITH GO...,Earbuds,Unknown,Flipkart,₹ 298.00,₹ 1699.00,0% off,3.6,15773,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-headphone/x/9/k/bluetooth-yes-tws-nexx-arham-original-imagyvcgugzpkz98.jpeg?q=70
994266b4-2297-486f-8a56-f193c9a72c53,myxes Tws Ecouteur Headsets Earphones Wireless Earbuds ...,Earbuds,Unknown,Flipkart,₹ 300.00,₹ 1999.00,0% off,3.7,10929,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/y/v/p/tws-ecouteur-headsets-earphones-wireless-earbuds-for-mobile-original-imahk3zyryftfvzk.jpeg?q=70
6537115a-d9c2-4bbf-95ad-ad11e829ed3e,"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",Earbuds,Unknown,Flipkart,₹ 599.00,₹ 2899.00,0% off,4.1,21811,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/a/h/i/-original-imah9f97ygh2rtzx.jpeg?q=70
36ce469d-51fe-4d57-b56d-4e6fa4347ae1,"Mivi DuoPods Beat ,60 Hours, 13mm Bass, AI-ENC, IPX 4.0...",Earbuds,Unknown,Flipkart,₹ 999.00,₹ 4999.00,0% off,4.0,295,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/6/l/k/-original-imahgwgzbyxrupkh.jpeg?q=70
2d66b680-59ce-4203-8702-5c8ff67c841a,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",Earbuds,Unknown,Flipkart,₹ 799.00,₹ 3999.00,0% off,4.0,90094,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/v/p/3/-original-imah8bfrrurageu2.jpeg?q=70
